,asset_id,asset_name,backup_asset_id,backup_site_id,backup_asset_name,monitoring_platform,site_id,field_name,address,time_zone,start_date,days_in_month,degradation_profile,degradation_factor,monthly_energy_estimate,daily_energy_estimate,monthly_insolation_estimate,daily_insolation_estimate
16571,22ad4864-7c28-ec11-b6e5-002248252d92,Oxendine,d0196d76-7c28-ec11-b6e5-002248252d92,,,PowerTrack,61617,KWHrec,"1563 Highway 144, Baxley, GA 31513",America/New_York,2022-08-03,29,0.5,1.0,755300.0,24364.52,214.4,6.92
16576,6d3abfaf-380c-ec11-b6e6-002248254693,Chambersburg,2acf9d63-34e9-ea11-a817-000d3a8c8077,3672319,Valley Mall,PowerTrack,58481,KWHdel,"465 West Commerce Street, Chambersburg, PA 17201",America/New_York,2022-03-21,11,0.5,1.0,2403000.0,77516.13,152.3,4.91
16586,ae9c2656-317d-ec11-8d21-00224829f9c9,MA - Kingston - Independence Rd FIT.1084,ae7e9558-e61b-ec11-b6e6-000d3a1dca0b,3850358,MA - Dedham - Providence Highway FIT.1586,Locus,3835499,KWHdel,"5 Independence Rd,  Kingston, MA 2364",America/New_York,2021-09-10,21,0.5,1.0,54349.0,1811.63,128600.0,4286.67
16602,701f8aac-317d-ec11-8d21-00224829f9c9,MA - Ashland - Waverly St FIT.1028,d9cd9d63-34e9-ea11-a817-000d3a8c8077,3421704,MA - Billerica,Locus,3850375,KWHdel,"89 Waverly St,  Ashland, MA 1721",America/New_York,2022-02-07,22,0.5,1.0,21684.0,774.43,78.0,2.79
16613,aa0937f8-317d-ec11-8d21-00224829f9c9,NY - Brooklyn - 64th St.0727,21ce9d63-34e9-ea11-a817-000d3a8c8077,3799436,NY - Brooklyn - Atlantic Ave.1450,Locus,3820107,KWHdel,"201 64th St,  Brooklyn, NY 11220",America/New_York,2022-02-07,22,0.5,1.0,1647.0,58.82,83.5,2.98
16624,f6324e2a-327d-ec11-8d21-00224829f9c9,Shops at Suffolk Downs,701f8aac-317d-ec11-8d21-00224829f9c9,3850375,MA - Ashland - Waverly St FIT.1028,Locus,3822057,KWHdel,"40 Furlong Dr,  Revere, MA 02151",America/New_York,2022-02-07,22,0.5,1.0,10518.0,375.64,83.1,2.97
16635,4f5ca36f-327d-ec11-8d21-00224829f9c9,CA - Northridge.08515,49f869b8-c41b-ec11-b6e6-000d3a1dca0b,3892231,CA - N Hollywood - Sherman Way.29139,Locus,3864368,KWHdel,"9920 Balboa Blvd,  Northridge, CA 91325",America/Los_Angeles,2022-02-07,22,0.5,1.0,10926.0,390.21,101.5,3.62
16646,1bda30fd-327d-ec11-8d21-00224829f9c9,CA - LA - South Bay - Gardena.29208,4c1c18c9-c41b-ec11-b6e6-000d3a1dca0b,3870199,CA - LA - W Pico Blvd.29143,Locus,3888393,KWHdel,"1459 W 190th Street,  Gardena, CA 90248",America/Los_Angeles,2022-02-07,22,0.5,1.0,18764.0,670.14,101.5,3.62
16657,180bcd0c-337d-ec11-8d21-00224829f9c9,MA-WEYMOUTH / MAIN STREET.29162,05a17e00-705e-eb11-a812-0022481e2916,3888372,MA-WALTHAM / MOODY ST.25835,Locus,3857185,KWHdel,"1470 Main Street,  Weymouth , MA 2190",America/New_York,2022-02-07,22,0.5,1.0,6803.0,242.96,80.2,2.86
16668,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,22,0.5,1.0,11672.0,416.86,81.0,2.89
16679,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,22,0.5,1.0,8081.0,288.61,76.8,2.74
16690,0eb733ed-5072-ec11-8943-0022482ec996,MD - Abingdon - Constant Friendship.0701,e9cd9d63-34e9-ea11-a817-000d3a8c8077,3740364,MA - Stoughton - 1940 Washington St NEM.0635,Locus,3892263,KWHdel,"410 Constant Friendship Blvd,  Abingdon, MD 21009",America/New_York,2022-02-07,22,0.5,1.0,9205.0,328.75,129.0,4.61
16701,218f0e8e-5272-ec11-8943-0022482ec996,MD - Rockville - 11850 Parklawn Dr.0380,f3cd9d63-34e9-ea11-a817-000d3a8c8077,3745581,MD - Germantown - Frederick Rd.0640,Locus,3902267,KWHdel,"11850 Parklawn Dr,  Rockville, MD 20852",America/New_York,2022-02-07,22,0.5,1.0,13504.0,482.29,183.7,6.56
16712,fcb23302-5372-ec11-8943-0022482ec996,ca900601 - Beckwith Farms 2,fcb23302-5372-ec11-8943-0022482ec996,3922225,ca900601 - Beckwith Farms 2,Locus,3922225,KWHdel,"12002 Volunteer Blvd, Mt. Juliet, TN 37122",America/Chicago,2021-11-03,28,0.5,1.0,15596.2,519.87,85.0,2.83
